 texas county_level_vaccination
County, Texas_County,People with at least 1 Dose - TX-Resident,People Fully Vaccinated - TX-Resident,Percent of Total Pop with at least 1 Dose -TX- Resident,Percent of Total Pop Fully Vaccinated - TX-Resident,People 5+ Fully Vaccinated -TX- Resident,People 5+ with at least 1 Dose - TX-Resident,Percent of 5+ Pop with at least 1 Dose - TX-Resident,Percent of 5+ Pop Fully Vaccinated -TX- Resident,People 12+ Fully Vaccinated -TX- Resident,People 12+ with at least 1 Dose -TX- Resident,Percent of 12+ Pop with at least 1 Dose -TX- Resident,Percent of 12+ Pop Fully Vaccinated - TX-Resident,People 18+ with at least 1 Dose -TX-Resident,Percent of 18+ Pop with at least 1 Dose -TX- Resident,People 18+ Fully Vaccinated -TX- Resident,Percent of 18+ Pop Fully Vaccinated - TX-Resident,People 65+ with at least 1 Dose - TX-Resident,People 65+ Fully Vaccinated -TX- Resident,Percent 65+ Pop at least 1 Dose -TX- Resident,Percent of 65+ Pop Fully Vaccinated -TX- Resident,TX- Fully Vaccinated with a First Booster Dose,TX-% of Fully Vacc.Population ≥ 12 Years of Age with a First Booster Dose,TX-% of Fully Vacc. Population ≥ 18 Years of Age with a  First Booster Dose,TX-% of Fully Vacc.Population ≥ 65 Years of Age with a First Booster Dose
,Anderson County,26135,23074,45.3,40,23074,26135,47.7,42.1,22894,25894,51.2,45.3,25106,53.7,22224,47.5,6247,5613,72.2,64.8,8894,38.8,39.7,57.1
,Andrews County,9447,8334,50.5,44.6,8334,9446,55.2,48.7,8094,9131,61.7,54.7,8425,65.3,7477,58,1709,1578,93.2,86.1,2944,36.4,38.5,66.3
,Angelina County,46420,41035,53.5,47.3,41031,46409,57.3,50.7,40412,45509,62.9,55.9,42834,66.2,38119,59,12578,11682,87.2,81,16577,41,42.9,66.9
,Aransas County,15844,13600,67.4,57.8,13598,15842,70.7,60.7,13455,15628,75.3,64.8,14970,77.4,12907,66.7,6347,5621,93.5,82.8,6214,46.2,47.8,65.3
,Archer County,6056,5254,70.8,61.4,5254,6056,74.8,64.9,5182,5938,80.3,70.1,5583,83.2,4871,72.6,1708,1518,95,90.5,1742,33.6,35.5,64.2
,Armstrong County,902,784,47.8,41.5,784,901,50.7,44.1,775,891,56,48.7,870,59.5,757,51.8,359,325,76.4,69.1,315,40.6,41.3,58.5
,Atascosa County,32293,27645,63.1,54,27644,32287,68,58.3,26932,31315,74.6,64.2,28752,77.2,24775,66.5,7736,6766,95,89,9545,35.4,37.4,55.9
,Austin County,16740,14485,55.7,48.2,14485,16737,59.2,51.2,14243,16409,64.7,56.2,15480,67.7,13460,58.8,5152,4703,86.8,79.3,5789,40.6,42.3,63.9
,Bailey County,3314,2735,47.3,39.1,2734,3312,51.5,42.5,2693,3234,57.4,47.8,3000,61.9,2528,52.2,826,743,79.7,71.7,919,34.1,35.8,56.3
,Bandera County,14258,11900,61.7,51.5,11898,14251,64.4,53.8,11749,14038,68,56.9,13386,69.3,11216,58.1,5610,4711,87.1,73.2,4864,41.4,42.9,59.6
,Bastrop County,62480,52131,70.4,58.8,52129,62469,75.4,62.9,50863,60378,81.4,68.6,55344,83.6,46863,70.8,12619,11065,91,79.8,19765,38.8,41.1,65.1
,Baylor County,1618,1454,46.1,41.4,1453,1617,49,44,1445,1606,54.1,48.7,1572,58.1,1419,52.4,692,651,82,77.1,497,34.4,34.7,52.1
,Bee County,19778,16627,60.7,51.1,16627,19768,64.3,54.1,16386,19398,69.1,58.4,18215,70.8,15464,60.1,3816,3416,93.3,83.5,6341,38.7,40.3,66
,Bell County,267356,223565,73.7,61.6,223555,267301,80.3,67.1,217269,258298,87.9,73.9,237897,90.5,200227,76.2,44957,38910,95,95,58888,27.1,28.5,57.5
,Bexar County,1686612,1406465,84.2,70.2,1406416,1686335,90.4,75.4,1354385,1611162,95,81.3,1462391,95,1231928,82.3,281426,239766,95,95,533982,39.4,41.5,62.9
,Blanco County,8139,6876,68.2,57.6,6876,8136,71.1,60.1,6805,8047,75.4,63.8,7724,78.7,6547,66.7,3106,2678,95,89.1,2898,42.6,43.9,62.1
,Borden County,267,232,40.8,35.5,232,267,42.5,36.9,231,263,45.8,40.2,248,47.3,220,42,85,80,48.9,46,63,27.3,28.6,42.5
,Bosque County,10167,8914,54.4,47.7,8913,10165,57.4,50.3,8824,10030,62.1,54.6,9596,65,8473,57.4,3940,3586,83.1,75.6,3751,42.5,43.8,60.8
,Bowie County,45340,37711,48.6,40.4,37704,45327,51.9,43.2,37223,44692,56.8,47.3,42686,59.9,35644,50,13465,11652,85,73.6,12902,34.6,35.8,54.1
,Brazoria County,246860,219169,66,58.6,219162,246826,70.7,62.8,210735,236266,76.2,68,214721,77.6,191566,69.3,43311,39644,94.7,86.6,90177,42.7,45,66.9
,Brazos County,137844,119125,60.1,52,119117,137802,64,55.3,115863,133763,67.9,58.8,125723,69.1,108917,59.9,21530,19732,95,91,45509,39.2,40.6,71.2
,Brewster County,6440,5476,70,59.5,5475,6432,73.6,62.6,5347,6237,77,66,5923,78.7,5145,68.4,1869,1729,83.8,77.5,2354,44,45.3,60
,Briscoe County,765,701,49.5,45.3,700,764,52.2,47.8,698,759,56.4,51.9,735,59.1,678,54.5,336,314,83.2,77.7,501,71.8,73.7,95
,Brooks County,30570,5868,95,82.7,5867,30518,95,90,4763,18394,95,83.5,9257,95,3981,77.4,1298,1112,95,85,1903,39.8,45.7,67.8
,Brown County,18057,15910,47.7,42,15906,18049,50.3,44.3,15772,17841,54.3,48,17152,57.8,15220,51.3,5929,5371,76.8,69.6,5656,35.9,36.8,56.6
